experiment,mse,rmse,mae,r2
danceability-xdg-100_probs-by_hours,0.009850969563873675,0.0992520506784302,0.07176777670310205,0.4104411535443495
danceability-bayes-100_probs-by_hours,0.009943639272934398,0.09971779817532274,0.0721469926545615,0.4048950754227014
danceability-baseline-100_probs-by_hours,0.032926262829823444,0.18145595286411367,0.14369822004295987,-0.9705643598002294
acousticness-xdg-100_probs-by_hours,0.024461188211758075,0.15640072957553003,0.10813901555750959,0.37120460988466597
acousticness-bayes-100_probs-by_hours,0.026678229973785175,0.16333471760095947,0.11571903082524687,0.31421368910078873
acousticness-baseline-100_probs-by_hours,0.07713993818466029,0.2777407751567283,0.2202166165720755,-0.9829469077459032
energy-xdg-100_probs-by_hours,0.015184466606752193,0.12322526772846627,0.09024706723391979,0.36923924025255617
energy-bayes-100_probs-by_hours,0.01554416492516484,0.12467624041959574,0.09286231119752114,0.3542974190824302
energy-baseline-100_probs-by_hours,0.04822295796640972,0.2195972631122932,0.17416249824045213,-1.0031753759882367
instrumentalness-xdg-100_probs-by_hours,0.04018672531701366,0.2004662697737793,0.15195372298185025,0.45638038184860263
instrumentalness-bayes-100_probs-by_hours,0.04293140753417903,0.20719895640224406,0.15875659642018156,0.4192521240203718
instrumentalness-baseline-100_probs-by_hours,0.14497412839094673,0.38075468269076707,0.3076747008934784,-0.9611147635448758
valence-xdg-100_probs-by_hours,0.023565379655995665,0.15351019398071147,0.11633145469806973,0.33517762676566165
valence-bayes-100_probs-by_hours,0.024650513758325915,0.1570048208123748,0.11892456623125161,0.3045640130781282
valence-baseline-100_probs-by_hours,0.0692426659727858,0.2631400121091162,0.21075132264279123,-0.9534619935303155
danceability-xdg-1000_probs-by_hours,0.008891536365676847,0.09429494347883585,0.06708207887008892,0.4678611187480337
danceability-bayes-1000_probs-by_hours,0.008924152717529082,0.09446773373765818,0.0665257872666684,0.4659091018781292
danceability-baseline-1000_probs-by_hours,0.03290895178350686,0.181408246183868,0.1427796445983201,-0.9695283317797212
acousticness-xdg-1000_probs-by_hours,0.020831733141120082,0.14433202396252912,0.09919019823841041,0.4645028011782062
acousticness-bayes-1000_probs-by_hours,0.024687710742179923,0.15712323425318078,0.11049641198608091,0.36538165796371025
acousticness-baseline-1000_probs-by_hours,0.07691726984738288,0.2773396290604408,0.21948065879849563,-0.9772230310972057
energy-xdg-1000_probs-by_hours,0.013593966152534512,0.1165931651192921,0.08458959999482467,0.43530842140080184
energy-bayes-1000_probs-by_hours,0.01430614076537497,0.11960828050505103,0.08789647700499512,0.40572478099368114
energy-baseline-1000_probs-by_hours,0.04876107251807202,0.2208190945504306,0.1720839511486689,-1.025528584186326
instrumentalness-xdg-1000_probs-by_hours,0.03805127679153155,0.19506736475261963,0.14593848162816234,0.4852673265510383
instrumentalness-bayes-1000_probs-by_hours,0.039814892704899664,0.19953669513375144,0.15056750025805365,0.4614102891381142
instrumentalness-baseline-1000_probs-by_hours,0.14570526118704533,0.38171358527965094,0.307553604920495,-0.9710050476697387
valence-xdg-1000_probs-by_hours,0.02109205610858785,0.14523104388727587,0.10996740530963584,0.40495459851691784
valence-bayes-1000_probs-by_hours,0.02167341597862472,0.1472189389264327,0.11125577641423752,0.3885533754454794
valence-baseline-1000_probs-by_hours,0.07331350822874594,0.27076467315502206,0.21735197351797703,-1.06830788394997
danceability-xdg-100_tokens-from_tag_weight-by_hours,0.015675572316406757,0.12520212584619622,0.094118649192498,0.061851498731175236
danceability-bayes-100_tokens-from_tag_weight-by_hours,0.016550554905747222,0.1286489599870408,0.0963424856247635,0.009485716592112836
danceability-baseline-100_tokens-from_tag_weight-by_hours,0.0337742217725044,0.18377764219976378,0.14283654550658262,-1.0213128361656518
acousticness-xdg-100_tokens-from_tag_weight-by_hours,0.03941507828867675,0.19853231044008113,0.14761622870410798,-0.013197695647575669
acousticness-bayes-100_tokens-from_tag_weight-by_hours,0.039464232266726185,0.19865606526538823,0.15181579986779026,-0.014461239942143544
acousticness-baseline-100_tokens-from_tag_weight-by_hours,0.08247169923413479,0.2871788627913531,0.22362474950956818,-1.1200043041439458
energy-xdg-100_tokens-from_tag_weight-by_hours,0.022861283278245395,0.15119948173934128,0.11600820578578597,0.050345278313869146
energy-bayes-100_tokens-from_tag_weight-by_hours,0.02425312383474478,0.1557341447298722,0.11917901156849327,-0.0074715966282157265
energy-baseline-100_tokens-from_tag_weight-by_hours,0.04849441297626413,0.22021447040615685,0.17270995319246119,-1.0144515816454627
instrumentalness-xdg-100_tokens-from_tag_weight-by_hours,0.066067156274856,0.2570353210647439,0.20566017743153156,0.10628691481660513
instrumentalness-bayes-100_tokens-from_tag_weight-by_hours,0.07296450626080282,0.2701194296247547,0.22301362017908918,0.012984095638414073
instrumentalness-baseline-100_tokens-from_tag_weight-by_hours,0.14929131943193183,0.3863823487582369,0.3125383821727732,-1.019514887632453
valence-xdg-100_tokens-from_tag_weight-by_hours,0.035219698460748135,0.1876691196248017,0.14688537971861051,0.006388021025793944
valence-bayes-100_tokens-from_tag_weight-by_hours,0.035408246047774414,0.18817078957100225,0.14776718193783658,0.0010687494458629931
valence-baseline-100_tokens-from_tag_weight-by_hours,0.06942180601178483,0.26348018144024576,0.20943879506216279,-0.9585158610090987
danceability-xdg-100_tokens-from_repeat_tags-by_hours,0.016001907563555504,0.12649864648902573,0.09462647516434869,0.042321052451816166
danceability-bayes-100_tokens-from_repeat_tags-by_hours,0.01660477565691572,0.1288595190776208,0.09596436638428756,0.006240723974321516
danceability-baseline-100_tokens-from_repeat_tags-by_hours,0.03477547793257088,0.1864818434394375,0.14472478369929534,-1.0812358135850726
acousticness-xdg-100_tokens-from_repeat_tags-by_hours,0.03807981507353814,0.19514050085396967,0.1450575063090345,0.02112636690414249
acousticness-bayes-100_tokens-from_repeat_tags-by_hours,0.03909083804609579,0.19771403097933082,0.15125722064786756,-0.004862827853754359
acousticness-baseline-100_tokens-from_repeat_tags-by_hours,0.08097378321767602,0.2845589274960039,0.22195145070520914,-1.0814991147077087
energy-xdg-100_tokens-from_repeat_tags-by_hours,0.023851553113001474,0.1544394804219487,0.11801566411334324,0.009209598707714095
energy-bayes-100_tokens-from_repeat_tags-by_hours,0.024277323178554112,0.15581181976523512,0.11870379444236087,-0.008476834209612205
energy-baseline-100_tokens-from_repeat_tags-by_hours,0.051572055915601274,0.22709481701615578,0.17958071089967884,-1.1422964674042038
instrumentalness-xdg-100_tokens-from_repeat_tags-by_hours,0.06731303122940609,0.2594475500547386,0.21013586387365404,0.08943353694831269
instrumentalness-bayes-100_tokens-from_repeat_tags-by_hours,0.07265366767448937,0.2695434430189118,0.22265488746930298,0.01718891581884574
instrumentalness-baseline-100_tokens-from_repeat_tags-by_hours,0.14571007123026702,0.3817198858197815,0.3068569588083501,-0.9710701147743324
valence-xdg-100_tokens-from_repeat_tags-by_hours,0.034976771767073346,0.18702077897141095,0.14655397439898074,0.013241426460734673
valence-bayes-100_tokens-from_repeat_tags-by_hours,0.03561060953129521,0.1887077357484192,0.14767855220113552,-0.0046402937918950116
valence-baseline-100_tokens-from_repeat_tags-by_hours,0.07093046800346788,0.26632774546311894,0.21162314873763144,-1.0010779695072736
danceability-xdg-1000_tokens-from_tag_weight-by_hours,0.015333429751402462,0.12382822679584192,0.09370388973638472,0.08232797819234927
danceability-bayes-1000_tokens-from_tag_weight-by_hours,0.01799488085806875,0.13414499937779548,0.10262767976245253,-0.07695401269904112
danceability-baseline-1000_tokens-from_tag_weight-by_hours,0.03469923369995244,0.18627730323351913,0.1459681467054924,-1.0766727640760916
acousticness-xdg-1000_tokens-from_tag_weight-by_hours,0.03748933614651783,0.19362163140134378,0.1442763719431701,0.036305123719077015
acousticness-bayes-1000_tokens-from_tag_weight-by_hours,0.04521357523121069,0.21263484011612652,0.16421259833090676,-0.16225293022978615
acousticness-baseline-1000_tokens-from_tag_weight-by_hours,0.07821586083955322,0.27967098676758234,0.21971190951686448,-1.010604403353256
energy-xdg-1000_tokens-from_tag_weight-by_hours,0.021872707779431226,0.14789424525461167,0.11265202108603227,0.09141057542627828
energy-bayes-1000_tokens-from_tag_weight-by_hours,0.027224487667927302,0.1649984474712635,0.12829411735100893,-0.13090166219738508
energy-baseline-1000_tokens-from_tag_weight-by_hours,0.049684369562363315,0.22289990929195846,0.17766476746147356,-1.0638822228232456
instrumentalness-xdg-1000_tokens-from_tag_weight-by_hours,0.06609397719741633,0.25708748938331544,0.20393417938034641,0.10592409899706035
instrumentalness-bayes-1000_tokens-from_tag_weight-by_hours,0.07952811816481128,0.28200730161613063,0.23009364139513588,-0.07580413402707786
instrumentalness-baseline-1000_tokens-from_tag_weight-by_hours,0.139238857397285,0.373147232868321,0.30335293096850974,-0.8835317855098579
valence-xdg-1000_tokens-from_tag_weight-by_hours,0.03318649285451015,0.1821716027664854,0.14265807546702355,0.06374846232335585
valence-bayes-1000_tokens-from_tag_weight-by_hours,0.03758719022945478,0.1938741608091568,0.1537159993536831,-0.060403243076919466
valence-baseline-1000_tokens-from_tag_weight-by_hours,0.07087942158004693,0.2662318943703908,0.21128813347448266,-0.999637856729154
danceability-xdg-1000_tokens-from_repeat_tags-by_hours,0.01613067921298236,0.12700661090267057,0.09537570260833934,0.03461435265947266
danceability-bayes-1000_tokens-from_repeat_tags-by_hours,0.017335018683699313,0.13166251814278546,0.09977614723181,-0.037462713916874835
danceability-baseline-1000_tokens-from_repeat_tags-by_hours,0.033486125197205244,0.18299214517898096,0.1432825647979206,-1.0040708902333364
acousticness-xdg-1000_tokens-from_repeat_tags-by_hours,0.039427242419660835,0.19856294321867018,0.14613163080231267,-0.013510384852259305
acousticness-bayes-1000_tokens-from_repeat_tags-by_hours,0.04181622659962272,0.204490162598651,0.1571265490599226,-0.07492122991891148
acousticness-baseline-1000_tokens-from_repeat_tags-by_hours,0.07868211368382189,0.2805033220548767,0.21688469621795364,-1.022589824362501
energy-xdg-1000_tokens-from_repeat_tags-by_hours,0.024052627425946535,0.1550890951225989,0.11814200796979099,0.000856998008357035
energy-bayes-1000_tokens-from_repeat_tags-by_hours,0.025689925806921157,0.16028077179412745,0.12447541291675031,-0.06715616290554527
energy-baseline-1000_tokens-from_repeat_tags-by_hours,0.04896960265185908,0.22129076494932878,0.17494859719264794,-1.0341908987097268
instrumentalness-xdg-1000_tokens-from_repeat_tags-by_hours,0.06927824773807062,0.26320761337406373,0.2098754090726905,0.06284937913009048
instrumentalness-bayes-1000_tokens-from_repeat_tags-by_hours,0.07824662774289153,0.27972598689233635,0.22850835781373044,-0.058468973514913314
instrumentalness-baseline-1000_tokens-from_repeat_tags-by_hours,0.14597813125892245,0.3820708458635943,0.3066731566297387,-0.9746962547314892
valence-xdg-1000_tokens-from_repeat_tags-by_hours,0.0363314599546082,0.19060813192151116,0.14831485004369946,-0.024976799978927433
valence-bayes-1000_tokens-from_repeat_tags-by_hours,0.03751822781184605,0.1936962256004129,0.15303794263578954,-0.058457687401267666
valence-baseline-1000_tokens-from_repeat_tags-by_hours,0.07270345084218818,0.2696357744109416,0.2131905258869112,-1.051097051556813
