experiment,mse,rmse,mae,r2
danceability-xdg-100_probs-by_track,0.023678933450593926,0.15387960700038822,0.11655971026568143,0.38325941543240627
danceability-bayes-100_probs-by_track,0.025348356781991255,0.15921167288233376,0.12437384571126633,0.33977767992919916
danceability-baseline-100_probs-by_track,0.07681449611628383,0.27715428215397253,0.22293702925497838,-1.0007073940584839
acousticness-xdg-100_probs-by_track,0.06602781243540648,0.25695877575091003,0.18406977958756762,0.31368814375997656
acousticness-bayes-100_probs-by_track,0.06834866724168691,0.26143578033943043,0.20040057845881723,0.2895645190113886
acousticness-baseline-100_probs-by_track,0.1955077015995285,0.44216252848870913,0.3532886832639473,-1.0321626394219487
energy-xdg-100_probs-by_track,0.03542558291741653,0.1882168507796699,0.1476475030496501,0.3635545816661696
energy-bayes-100_probs-by_track,0.03871964005707766,0.19677306740780778,0.15909322286301344,0.304374537144264
energy-baseline-100_probs-by_track,0.11148465241833298,0.33389317515986006,0.2674139241542088,-1.002899893322688
instrumentalness-xdg-100_probs-by_track,0.0909494591697162,0.3015782803348348,0.22864735690585983,0.3866516557766171
instrumentalness-bayes-100_probs-by_track,0.09457403281693713,0.30752891379012987,0.2569506275253541,0.36220812125388613
instrumentalness-baseline-100_probs-by_track,0.28375264091623215,0.5326843726975967,0.43458769437364664,-0.913581609652206
valence-xdg-100_probs-by_track,0.057782942312598465,0.24038082767267124,0.19035382235907883,0.25594001985958115
valence-bayes-100_probs-by_track,0.05911887715851474,0.24314373765021122,0.2008490601159812,0.23873744042802747
valence-baseline-100_probs-by_track,0.1554172525158463,0.39422994878097006,0.3190511827199945,-1.001278460256012
danceability-xdg-1000_probs-by_track,0.01914216548208502,0.13835521487130517,0.10580784062328587,0.5014238984224768
danceability-bayes-1000_probs-by_track,0.023453509300133242,0.1531453861535934,0.11914234820457952,0.3891308041341339
danceability-baseline-1000_probs-by_track,0.07966673444335698,0.28225296179731574,0.22552331029359549,-1.074996683178517
acousticness-xdg-1000_probs-by_track,0.04424945878345334,0.21035555325080757,0.147228325740927,0.5400585438901597
acousticness-bayes-1000_probs-by_track,0.06364041823245577,0.2522705258892837,0.18973919226755168,0.3385033979168014
acousticness-baseline-1000_probs-by_track,0.1955087039326666,0.4421636619314918,0.35061042726893005,-1.0321730579575812
energy-xdg-1000_probs-by_track,1.081693443581263e-06,0.0010400449238284195,0.0007639401712771398,0.9999805666193887
energy-bayes-1000_probs-by_track,4.118688719465898e-15,6.417701083305374e-08,1.4699990201601807e-09,0.9999999999999261
energy-baseline-1000_probs-by_track,0.12210887864849226,0.3494408085048057,0.27837931615628236,-1.1937715614979112
instrumentalness-xdg-1000_probs-by_track,0.08698453752244609,0.2949314115560533,0.22608004112136795,0.41339044179612017
instrumentalness-bayes-1000_probs-by_track,0.08939114247803798,0.29898351539514345,0.24758867082886452,0.39716068981972175
instrumentalness-baseline-1000_probs-by_track,0.29487838765801627,0.5430270597843319,0.4408968600694559,-0.9886118341815038
valence-xdg-1000_probs-by_track,0.05111168116092932,0.22607892683956485,0.1783229228900942,0.3418445834099948
valence-bayes-1000_probs-by_track,0.05627923061892245,0.23723244006442806,0.19499312878760283,0.2753030299133208
valence-baseline-1000_probs-by_track,0.15358391374451652,0.3918978358507693,0.3197539146950362,-0.9776709048912022
danceability-xdg-10000_probs-by_track,0.019306455965969308,0.1389476734816719,0.10631216609411534,0.4971447948352692
danceability-bayes-10000_probs-by_track,0.023103565394990522,0.15199857037153514,0.11810678319459378,0.3982454295489105
danceability-baseline-10000_probs-by_track,0.07334733481225679,0.2708271308644257,0.21583000851964343,-0.9104018448707463
acousticness-xdg-10000_probs-by_track,0.04309174769503605,0.2075855189916581,0.145911781466716,0.55209212211689
acousticness-bayes-10000_probs-by_track,0.06270105636466002,0.2504017898591382,0.1878579192486039,0.3482673922608317
acousticness-baseline-10000_probs-by_track,0.18723798105461298,0.4327100427013602,0.34095884104578594,-0.9462048127361176
energy-xdg-10000_probs-by_track,1.288263332153991e-06,0.0011350168862858344,0.0008165939431332798,0.9999768554466056
energy-bayes-10000_probs-by_track,6.557386489824161e-11,8.097769130954625e-06,1.6857255925856465e-06,0.9999999988219196
energy-baseline-10000_probs-by_track,0.10674320945317878,0.3267157930880887,0.2604132408382907,-0.9177165483231633
instrumentalness-xdg-10000_probs-by_track,0.08554741968521766,0.29248490505531677,0.22447177024847514,0.4230821304984478
instrumentalness-bayes-10000_probs-by_track,0.08853563908493299,0.2975493893203832,0.24625194149595842,0.4029300654095124
instrumentalness-baseline-10000_probs-by_track,0.29259196750175076,0.5409177086228096,0.44357075675353785,-0.9731925889232385
valence-xdg-10000_probs-by_track,0.05019935893634709,0.22405213441595928,0.17704545600548566,0.3535923835242909
valence-bayes-10000_probs-by_track,0.055802484313432696,0.2362254946305176,0.19377621471609183,0.28144200159592714
valence-baseline-10000_probs-by_track,0.15802871840074909,0.39752826113466333,0.3212514040111106,-1.034905810762781
