experiment,mse,rmse,mae,r2
danceability-bayes-1000-probs-by_track,0.010651421254698713,0.1032057229745459,0.07791235041301789,0.3751225870314342
danceability-xgboost-1000-probs-by_track,0.010191354520224495,0.10095223880739097,0.07526012600023982,0.4021129110414179
acousticness-bayes-1000-probs-by_track,0.03213469916047495,0.17926153843051484,0.14409246305908316,0.30984386497676764
acousticness-xgboost-1000-probs-by_track,0.030797237955036874,0.17549141846551036,0.13922605232739949,0.33856848603760514
energy-bayes-1000-probs-by_track,0.0013349475143077515,0.036536933564651417,0.02756293032893791,0.3375750287863717
energy-xgboost-1000-probs-by_track,0.0012948930047124675,0.03598462178087283,0.02715511347302815,0.3574507969954245
instrumentalness-bayes-1000-probs-by_track,0.034419609616417865,0.18552522636131688,0.14214918379151872,0.4089952823426185
instrumentalness-xgboost-1000-probs-by_track,0.032948765882081954,0.18151794920084888,0.13309251139284384,0.4342505247935581
valence-bayes-1000-probs-by_track,0.001786192192560367,0.042263367028200285,0.03338454184731305,0.2888223418360255
valence-xgboost-1000-probs-by_track,0.0017706471876885828,0.04207905877854901,0.03303085871793466,0.29501163110003037
