experiment,mse,rmse,mae,r2
danceability-xdg-100_probs-by_hours,0.009850969563873675,0.0992520506784302,0.07176777670310205,0.4104411535443495
danceability-bayes-100_probs-by_hours,0.009943639272934398,0.09971779817532274,0.0721469926545615,0.4048950754227014
danceability-baseline-100_probs-by_hours,0.034175320865532564,0.18486568330961958,0.1445484706441839,-1.0453177340659865
acousticness-xdg-100_probs-by_hours,0.024461188211758075,0.15640072957553003,0.10813901555750959,0.37120460988466597
acousticness-bayes-100_probs-by_hours,0.026678229973785175,0.16333471760095947,0.11571903082524687,0.31421368910078873
acousticness-baseline-100_probs-by_hours,0.08108122632608614,0.28474765376748257,0.22581386064192835,-1.0842610300604334
energy-xdg-100_probs-by_hours,0.015184466606752193,0.12322526772846627,0.09024706723391979,0.36923924025255617
energy-bayes-100_probs-by_hours,0.01554416492516484,0.12467624041959574,0.09286231119752114,0.3542974190824302
energy-baseline-100_probs-by_hours,0.049709766817714135,0.2229568721024632,0.1769723907336348,-1.0649372214936275
instrumentalness-xdg-100_probs-by_hours,0.04018672531701366,0.2004662697737793,0.15195372298185025,0.45638038184860263
instrumentalness-bayes-100_probs-by_hours,0.04293140753417903,0.20719895640224406,0.15875659642018156,0.4192521240203718
instrumentalness-baseline-100_probs-by_hours,0.14511406936074542,0.3809384062558479,0.3080916341395776,-0.9630077930456773
valence-xdg-100_probs-by_hours,0.023565379655995665,0.15351019398071147,0.11633145469806973,0.33517762676566165
valence-bayes-100_probs-by_hours,0.024650513758325915,0.1570048208123748,0.11892456623125161,0.3045640130781282
valence-baseline-100_probs-by_hours,0.07171050158262506,0.2677881655014371,0.2136115484038406,-1.0230841405458042
danceability-xdg-1000_probs-by_hours,0.008891536365676847,0.09429494347883585,0.06708207887008892,0.4678611187480337
danceability-bayes-1000_probs-by_hours,0.008924152717529082,0.09446773373765818,0.0665257872666684,0.4659091018781292
danceability-baseline-1000_probs-by_hours,0.03358516913967815,0.1832625688450267,0.14340966413276585,-1.0099984521950427
acousticness-xdg-1000_probs-by_hours,0.020831733141120082,0.14433202396252912,0.09919019823841041,0.4645028011782062
acousticness-bayes-1000_probs-by_hours,0.024687710742179916,0.15712323425318075,0.11049641198608091,0.36538165796371047
acousticness-baseline-1000_probs-by_hours,0.08387238924628924,0.28960730178344823,0.22867121974186258,-1.156010217470755
energy-xdg-1000_probs-by_hours,0.013593966152534512,0.1165931651192921,0.08458959999482467,0.43530842140080184
energy-bayes-1000_probs-by_hours,0.01430614076537497,0.11960828050505103,0.0878964770049951,0.40572478099368114
energy-baseline-1000_probs-by_hours,0.04958938334049566,0.22268673813340492,0.17619535255205487,-1.0599365075720995
instrumentalness-xdg-1000_probs-by_hours,0.03805127679153155,0.19506736475261963,0.14593848162816234,0.4852673265510383
instrumentalness-bayes-1000_probs-by_hours,0.03981489270489965,0.1995366951337514,0.15056750025805363,0.4614102891381143
instrumentalness-baseline-1000_probs-by_hours,0.14490111362979202,0.38065878898272143,0.3081598321652102,-0.9601270678253262
valence-xdg-1000_probs-by_hours,0.02109205610858785,0.14523104388727587,0.10996740530963584,0.40495459851691784
valence-bayes-1000_probs-by_hours,0.02167341597862472,0.1472189389264327,0.11125577641423752,0.3885533754454794
valence-baseline-1000_probs-by_hours,0.07155561602338734,0.26749881499436096,0.21434905277602284,-1.0187145362120185
danceability-xdg-10000_probs-by_hours,0.008306420269938296,0.09113956478905468,0.06518710361099356,0.5028790292399432
danceability-bayes-10000_probs-by_hours,0.007827956955256295,0.08847574218539393,0.06130758628666788,0.5315140055279366
danceability-baseline-10000_probs-by_hours,0.033495006268224804,0.18301640983317535,0.14308704888078405,-1.0046024027866571
acousticness-xdg-10000_probs-by_hours,0.01954144269040467,0.13979071031511597,0.09576626429607858,0.497670801043793
acousticness-bayes-10000_probs-by_hours,0.020219883706872492,0.14219663746682792,0.09829207958333822,0.4802309048324116
acousticness-baseline-10000_probs-by_hours,0.07721788842773618,0.27788106885453023,0.2153771040098011,-0.9849506842215254
energy-xdg-10000_probs-by_hours,0.012596922817120994,0.1122360139042767,0.08217543768958398,0.47672547133964527
energy-bayes-10000_probs-by_hours,0.011561200228004746,0.10752302185115868,0.07816037307207319,0.5197492524257751
energy-baseline-10000_probs-by_hours,0.049966323810080926,0.22353148281636062,0.17617677784750943,-1.0755945654501047
instrumentalness-xdg-10000_probs-by_hours,0.03749551431245988,0.19363758496856925,0.1449853498682072,0.4927853162422239
instrumentalness-bayes-10000_probs-by_hours,0.03437269082937812,0.1853987347027431,0.13671353917576695,0.5350288206839359
instrumentalness-baseline-10000_probs-by_hours,0.1472803196320811,0.38377118134649074,0.30698507689673155,-0.9923114035298413
valence-xdg-10000_probs-by_hours,0.020060034569855983,0.1416334514507642,0.10622865896092858,0.4340698098406661
valence-bayes-10000_probs-by_hours,0.01869477191835341,0.13672882621581087,0.10006268738222857,0.47258636121009046
valence-baseline-10000_probs-by_hours,0.07090325752211589,0.26627665598417727,0.21053464433568322,-1.0003103121619068
danceability-xdg-100_tokens-from_tag_weight-by_hours,0.015675572316406757,0.12520212584619622,0.094118649192498,0.061851498731175236
danceability-bayes-100_tokens-from_tag_weight-by_hours,0.016550554905747222,0.1286489599870408,0.0963424856247635,0.009485716592112836
danceability-baseline-100_tokens-from_tag_weight-by_hours,0.03378902552557447,0.1838179140496771,0.14374971977010453,-1.0221988082038975
acousticness-xdg-100_tokens-from_tag_weight-by_hours,0.03941507828867675,0.19853231044008113,0.14761622870410798,-0.013197695647575669
acousticness-bayes-100_tokens-from_tag_weight-by_hours,0.039464232266726185,0.19865606526538823,0.15181579986779026,-0.014461239942143544
acousticness-baseline-100_tokens-from_tag_weight-by_hours,0.07526419165163749,0.27434320048369615,0.21372169280828457,-0.9347292675078624
energy-xdg-100_tokens-from_tag_weight-by_hours,0.022861283278245395,0.15119948173934128,0.11600820578578597,0.050345278313869146
energy-bayes-100_tokens-from_tag_weight-by_hours,0.02425312383474478,0.1557341447298722,0.11917901156849327,-0.0074715966282157265
energy-baseline-100_tokens-from_tag_weight-by_hours,0.04575478263412753,0.21390367606501653,0.16836872365745711,-0.9006476950298599
instrumentalness-xdg-100_tokens-from_tag_weight-by_hours,0.066067156274856,0.2570353210647439,0.20566017743153156,0.10628691481660513
instrumentalness-bayes-100_tokens-from_tag_weight-by_hours,0.07296450626080282,0.2701194296247547,0.22301362017908918,0.012984095638414073
instrumentalness-baseline-100_tokens-from_tag_weight-by_hours,0.14724691546536656,0.38372765793641533,0.31086492624437106,-0.9918595339084482
valence-xdg-100_tokens-from_tag_weight-by_hours,0.035219698460748135,0.1876691196248017,0.14688537971861051,0.006388021025793944
valence-bayes-100_tokens-from_tag_weight-by_hours,0.035408246047774414,0.18817078957100225,0.14776718193783658,0.0010687494458629931
valence-baseline-100_tokens-from_tag_weight-by_hours,0.07096453139920449,0.26639168793189566,0.21308868372434825,-1.0020389600758373
danceability-xdg-100_tokens-from_repeat_tags-by_hours,0.016001907563555504,0.12649864648902573,0.09462647516434869,0.042321052451816166
danceability-bayes-100_tokens-from_repeat_tags-by_hours,0.01660477565691572,0.1288595190776208,0.09596436638428756,0.006240723974321516
danceability-baseline-100_tokens-from_repeat_tags-by_hours,0.032578579320501413,0.18049537201962107,0.14180305361426696,-0.9497562670172337
acousticness-xdg-100_tokens-from_repeat_tags-by_hours,0.03807981507353814,0.19514050085396967,0.1450575063090345,0.02112636690414249
acousticness-bayes-100_tokens-from_repeat_tags-by_hours,0.03909083804609579,0.19771403097933082,0.15125722064786756,-0.004862827853754359
acousticness-baseline-100_tokens-from_repeat_tags-by_hours,0.07815339367028072,0.27955928471485386,0.21788365709239238,-1.0089986322953632
energy-xdg-100_tokens-from_repeat_tags-by_hours,0.023851553113001474,0.1544394804219487,0.11801566411334324,0.009209598707714095
energy-bayes-100_tokens-from_repeat_tags-by_hours,0.024277323178554112,0.15581181976523512,0.11870379444236087,-0.008476834209612205
energy-baseline-100_tokens-from_repeat_tags-by_hours,0.048122921119736976,0.21936937142576896,0.1724064296479334,-0.9990198584423005
instrumentalness-xdg-100_tokens-from_repeat_tags-by_hours,0.06731303122940609,0.2594475500547386,0.21013586387365404,0.08943353694831269
instrumentalness-bayes-100_tokens-from_repeat_tags-by_hours,0.07265366767448937,0.2695434430189118,0.22265488746930298,0.01718891581884574
instrumentalness-baseline-100_tokens-from_repeat_tags-by_hours,0.14624749788065297,0.38242319213229337,0.3102038266491417,-0.9783400694213586
valence-xdg-100_tokens-from_repeat_tags-by_hours,0.034976771767073346,0.18702077897141095,0.14655397439898074,0.013241426460734673
valence-bayes-100_tokens-from_repeat_tags-by_hours,0.03561060953129521,0.1887077357484192,0.14767855220113552,-0.0046402937918950116
valence-baseline-100_tokens-from_repeat_tags-by_hours,0.07090748461174232,0.26628459326769605,0.2140040730538167,-1.0004295660758409
danceability-xdg-1000_tokens-from_tag_weight-by_hours,0.015333429751402462,0.12382822679584192,0.09370388973638472,0.08232797819234927
danceability-bayes-1000_tokens-from_tag_weight-by_hours,0.01799488085806875,0.13414499937779548,0.10262767976245253,-0.07695401269904112
danceability-baseline-1000_tokens-from_tag_weight-by_hours,0.034825755586544535,0.18661660051170295,0.1449124456062869,-1.0842448205144932
acousticness-xdg-1000_tokens-from_tag_weight-by_hours,0.03748933614651783,0.19362163140134378,0.1442763719431701,0.036305123719077015
acousticness-bayes-1000_tokens-from_tag_weight-by_hours,0.04521357523121069,0.21263484011612652,0.16421259833090676,-0.16225293022978615
acousticness-baseline-1000_tokens-from_tag_weight-by_hours,0.0764425010057516,0.2764823701535988,0.2159556394022749,-0.9650186992224095
energy-xdg-1000_tokens-from_tag_weight-by_hours,0.021872707779431226,0.14789424525461167,0.11265202108603227,0.09141057542627828
energy-bayes-1000_tokens-from_tag_weight-by_hours,0.027224487667927302,0.1649984474712635,0.12829411735100893,-0.13090166219738508
energy-baseline-1000_tokens-from_tag_weight-by_hours,0.048106040005760874,0.21933089159022007,0.17292300144436623,-0.9983186191724132
instrumentalness-xdg-1000_tokens-from_tag_weight-by_hours,0.06609397719741633,0.25708748938331544,0.20393417938034641,0.10592409899706035
instrumentalness-bayes-1000_tokens-from_tag_weight-by_hours,0.07952811816481128,0.28200730161613063,0.23009364139513588,-0.07580413402707786
instrumentalness-baseline-1000_tokens-from_tag_weight-by_hours,0.14250520300555128,0.3774986132498387,0.3041209617880914,-0.9277167629696776
valence-xdg-1000_tokens-from_tag_weight-by_hours,0.03318649285451015,0.1821716027664854,0.14265807546702355,0.06374846232335585
valence-bayes-1000_tokens-from_tag_weight-by_hours,0.03758719022945479,0.1938741608091568,0.1537159993536831,-0.06040324307691969
valence-baseline-1000_tokens-from_tag_weight-by_hours,0.07411949259795762,0.27224895334593596,0.21533325257075583,-1.091046174143091
danceability-xdg-1000_tokens-from_repeat_tags-by_hours,0.01613067921298236,0.12700661090267057,0.09537570260833934,0.03461435265947266
danceability-bayes-1000_tokens-from_repeat_tags-by_hours,0.017335018683699313,0.13166251814278546,0.09977614723181,-0.037462713916874835
danceability-baseline-1000_tokens-from_repeat_tags-by_hours,0.034290846326444836,0.18517787752980872,0.14589798862145067,-1.0522316786305366
acousticness-xdg-1000_tokens-from_repeat_tags-by_hours,0.039427242419660835,0.19856294321867018,0.14613163080231267,-0.013510384852259305
acousticness-bayes-1000_tokens-from_repeat_tags-by_hours,0.04181622659962272,0.204490162598651,0.1571265490599226,-0.07492122991891148
acousticness-baseline-1000_tokens-from_repeat_tags-by_hours,0.07982535145868588,0.2825338058687595,0.22055294928852123,-1.0519777116726785
energy-xdg-1000_tokens-from_repeat_tags-by_hours,0.024052627425946535,0.1550890951225989,0.11814200796979099,0.000856998008357035
energy-bayes-1000_tokens-from_repeat_tags-by_hours,0.025689925806921157,0.16028077179412745,0.12447541291675031,-0.06715616290554527
energy-baseline-1000_tokens-from_repeat_tags-by_hours,0.04979522848622789,0.22314844495588107,0.17623936125895448,-1.068487288042363
instrumentalness-xdg-1000_tokens-from_repeat_tags-by_hours,0.06927824773807062,0.26320761337406373,0.2098754090726905,0.06284937913009048
instrumentalness-bayes-1000_tokens-from_repeat_tags-by_hours,0.07824662774289153,0.27972598689233635,0.22850835781373044,-0.058468973514913314
instrumentalness-baseline-1000_tokens-from_repeat_tags-by_hours,0.151957277128834,0.3898169790155811,0.313108852176845,-1.0555782118711203
valence-xdg-1000_tokens-from_repeat_tags-by_hours,0.0363314599546082,0.19060813192151116,0.14831485004369946,-0.024976799978927433
valence-bayes-1000_tokens-from_repeat_tags-by_hours,0.037518227811846036,0.19369622560041286,0.15303794263578951,-0.05845768740126722
valence-baseline-1000_tokens-from_repeat_tags-by_hours,0.07200635726981786,0.2683400031113845,0.2143460575382906,-1.0314307694974985
danceability-xdg-10000_tokens-from_tag_weight-by_hours,0.01559046792746198,0.12486179530770003,0.09289108016060554,0.06694480909512135
danceability-bayes-10000_tokens-from_tag_weight-by_hours,0.23898833095220232,0.4888643277558737,0.3190635233384845,-13.30292559518748
danceability-baseline-10000_tokens-from_tag_weight-by_hours,0.033974486840834275,0.18432169389638942,0.14582146657097028,-1.0332982597226295
