experiment,mse,rmse,mae,r2
danceability-xdg-100-probs-by_track,0.023678933450593926,0.15387960700038822,0.11655971026568143,0.38325941543240627
danceability-bayes-100-probs-by_track,0.025348356781991255,0.15921167288233376,0.12437384571126633,0.33977767992919916
danceability-baseline-100-probs-by_track,0.07635669688947952,0.27632715554118004,0.21989919435769298,-0.988783573108398
acousticness-xdg-100-probs-by_track,0.06602781243540648,0.25695877575091003,0.18406977958756762,0.31368814375997656
acousticness-bayes-100-probs-by_track,0.06834866724168691,0.26143578033943043,0.20040057845881723,0.2895645190113886
acousticness-baseline-100-probs-by_track,0.19176027164706944,0.43790440925739654,0.3466447178987626,-0.9932107869837405
energy-xdg-100-probs-by_track,0.03542558291741653,0.1882168507796699,0.1476475030496501,0.3635545816661696
energy-bayes-100-probs-by_track,0.03871964005707766,0.19677306740780778,0.15909322286301344,0.304374537144264
energy-baseline-100-probs-by_track,0.10801910081359391,0.32866259418070976,0.2636789605308627,-0.9406388305766669
instrumentalness-xdg-100-probs-by_track,0.0909494591697162,0.3015782803348348,0.22864735690585983,0.3866516557766171
instrumentalness-bayes-100-probs-by_track,0.09457403281693713,0.30752891379012987,0.2569506275253541,0.36220812125388613
instrumentalness-baseline-100-probs-by_track,0.2931021700642492,0.5413891115124585,0.44459254967101175,-0.9766333119333996
valence-xdg-100-probs-by_track,0.057782942312598465,0.24038082767267124,0.19035382235907883,0.25594001985958115
valence-bayes-100-probs-by_track,0.05911887715851474,0.24314373765021122,0.2008490601159812,0.23873744042802747
valence-baseline-100-probs-by_track,0.15572303538654927,0.39461758119291807,0.32031269346999003,-1.0052159682401451
danceability-xdg-1000-probs-by_track,0.02216308979474573,0.14887273019175046,0.11290686854975335,0.4227410206479253
danceability-bayes-1000-probs-by_track,0.023469252642667113,0.15319677752050503,0.11916902721014021,0.3887207536435725
danceability-baseline-1000-probs-by_track,0.0783372812685675,0.2798879798572413,0.22252954920226894,-1.0403697972216097
acousticness-xdg-1000-probs-by_track,0.06199179446708934,0.24898151430796894,0.179158567191244,0.3556396620896747
acousticness-bayes-1000-probs-by_track,0.06388555065757758,0.25275591122182994,0.19022040022201386,0.3359554217912173
acousticness-baseline-1000-probs-by_track,0.1825938203658282,0.4273099815892769,0.34096554543224616,-0.897932086055752
energy-xdg-1000-probs-by_track,0.03387029121701622,0.18403883073149596,0.14461000379191963,0.3914964867916251
energy-bayes-1000-probs-by_track,0.036192034689543705,0.19024204238165576,0.15315798232430533,0.34978473855924463
energy-baseline-1000-probs-by_track,0.11051799430088928,0.3324424676555167,0.2675843575828399,-0.9855332029459494
instrumentalness-xdg-1000-probs-by_track,0.08517053414498853,0.29183991184378555,0.2235856173512547,0.4256237852171406
instrumentalness-bayes-1000-probs-by_track,0.08941094819002758,0.29901663530651196,0.24763312594146272,0.3970271233228355
instrumentalness-baseline-1000-probs-by_track,0.2872316105457058,0.5359399318447038,0.4396098257865379,-0.9370432143865375
valence-xdg-1000-probs-by_track,0.05592006222212935,0.23647423162393266,0.18799238655502423,0.27992797318358875
valence-bayes-1000-probs-by_track,0.05633887384759945,0.23735811308569052,0.19512160963595807,0.27453501537877445
valence-baseline-1000-probs-by_track,0.15446950114440583,0.39302608201543804,0.3194358394945189,-0.9890744457425753
danceability-xdg-10000-probs-by_track,0.02195516340132638,0.14817274851107534,0.11276758479461885,0.42815666344670444
